pub_time(ms) sub_time(ms) utmX(m) utmY(m) heading(rad) velocity(m/s)
1689585280161 1689585280249 328923.380000 3463475.340000 -3.056290 9.260000
1689585280213 1689585280322 328922.920000 3463475.290000 -3.056290 9.220000
1689585280263 1689585280322 328922.460000 3463475.230000 -3.039709 9.180000
1689585280313 1689585280396 328922.000000 3463475.170000 -3.039709 9.180000
1689585280364 1689585280478 328921.450000 3463475.100000 -3.039709 9.200000
1689585280415 1689585280478 328920.990000 3463475.050000 -3.039709 9.200000
1689585280467 1689585280550 328920.530000 3463474.990000 -3.020510 9.100000
1689585280516 1689585280626 328919.990000 3463474.910000 -3.020510 9.140000
1689585280567 1689585280626 328919.530000 3463474.840000 -3.020510 9.140000
1689585280618 1689585280703 328919.070000 3463474.770000 -3.002621 9.160000
1689585280668 1689585280717 328918.800000 3463474.730000 -3.002621 9.140000
1689585280719 1689585280789 328918.350000 3463474.660000 -3.002621 9.100000
1689585280769 1689585280865 328917.980000 3463474.600000 -3.002621 9.100000
1689585280820 1689585280872 328917.450000 3463474.500000 -3.002621 9.100000
1689585280871 1689585280948 328917.170000 3463474.450000 -2.980804 9.100000
1689585280922 1689585281019 328916.460000 3463474.330000 -2.980804 9.100000
1689585280972 1689585281031 328915.910000 3463474.230000 -2.980804 9.040000
1689585281023 1689585281102 328915.640000 3463474.180000 -2.980804 9.060000
1689585281074 1689585281176 328915.020000 3463474.070000 -2.965969 9.060000
1689585281124 1689585281176 328914.570000 3463473.970000 -2.965969 9.040000
1689585281175 1689585281251 328914.040000 3463473.860000 -2.965969 9.040000
1689585281225 1689585281331 328913.600000 3463473.770000 -2.949825 9.040000
1689585281275 1689585281331 328913.320000 3463473.720000 -2.949825 9.040000
1689585281326 1689585281409 328913.060000 3463473.670000 -2.949825 9.020000
1689585281376 1689585281417 328912.440000 3463473.530000 -2.949825 9.000000
1689585281427 1689585281490 328911.990000 3463473.430000 -2.949825 9.000000
1689585281477 1689585281566 328911.740000 3463473.370000 -2.927572 9.000000
1689585281528 1689585281579 328911.110000 3463473.220000 -2.927572 9.040000
1689585281578 1689585281646 328910.860000 3463473.160000 -2.927572 9.000000
1689585281629 1689585281720 328910.150000 3463472.980000 -2.910773 9.040000
1689585281680 1689585281737 328909.800000 3463472.900000 -2.910773 9.060000
1689585281730 1689585281810 328909.170000 3463472.740000 -2.910773 9.060000
1689585281780 1689585281825 328908.820000 3463472.650000 -2.910773 9.100000
1689585281831 1689585281895 328908.650000 3463472.600000 -2.910773 9.080000
1689585281884 1689585281969 328908.110000 3463472.460000 -2.902483 9.100000
1689585281932 1689585281980 328907.850000 3463472.390000 -2.902483 9.140000
1689585281984 1689585282058 328907.060000 3463472.160000 -2.902483 9.120000
1689585282034 1689585282077 328906.710000 3463472.050000 -2.902483 9.120000
1689585282084 1689585282145 328906.180000 3463471.890000 -2.868667 9.120000
1689585282135 1689585282220 328905.740000 3463471.760000 -2.868667 9.140000
1689585282186 1689585282227 328905.210000 3463471.600000 -2.868667 9.180000
1689585282236 1689585282299 328904.870000 3463471.480000 -2.846414 9.160000
1689585282287 1689585282369 328904.340000 3463471.310000 -2.846414 9.160000
1689585282338 1689585282381 328903.900000 3463471.170000 -2.846414 9.180000
1689585282388 1689585282456 328903.380000 3463470.990000 -2.846414 9.220000
1689585282439 1689585282530 328902.930000 3463470.840000 -2.826124 9.220000
1689585282490 1689585282530 328902.850000 3463470.810000 -2.826124 9.220000
1689585282540 1689585282600 328902.850000 3463470.810000 -2.826124 9.200000
1689585282592 1689585282676 328901.800000 3463470.420000 -2.826124 9.220000
1689585282641 1689585282689 328901.370000 3463470.260000 -2.797763 9.240000
1689585282692 1689585282756 328901.190000 3463470.200000 -2.797763 9.240000
1689585282743 1689585282830 328900.420000 3463469.900000 -2.797763 9.240000
1689585282793 1689585282830 328899.980000 3463469.730000 -2.797763 9.280000
1689585282844 1689585282916 328899.470000 3463469.520000 -2.774419 9.240000
1689585282894 1689585282926 328899.120000 3463469.380000 -2.774419 9.260000
1689585282945 1689585283001 328898.860000 3463469.270000 -2.774419 9.260000
1689585282995 1689585283072 328898.180000 3463468.990000 -2.774419 9.280000
1689585283046 1689585283088 328897.660000 3463468.760000 -2.751293 9.280000
1689585283096 1689585283161 328897.240000 3463468.570000 -2.751293 9.300000
1689585283147 1689585283177 328896.900000 3463468.420000 -2.751293 9.280000
1689585283199 1689585283250 328896.650000 3463468.300000 -2.751293 9.280000
1689585283250 1689585283325 328896.140000 3463468.070000 -2.720532 9.280000
1689585283300 1689585283335 328895.720000 3463467.870000 -2.720532 9.300000
1689585283351 1689585283405 328895.210000 3463467.630000 -2.720532 9.300000
1689585283401 1689585283480 328894.790000 3463467.420000 -2.720532 9.280000
1689585283452 1689585283480 328894.370000 3463467.220000 -2.699370 9.280000
1689585283502 1689585283555 328893.950000 3463467.000000 -2.699370 9.300000
1689585283553 1689585283635 328893.450000 3463466.760000 -2.699370 9.300000
1689585283604 1689585283636 328893.110000 3463466.590000 -2.699370 9.320000
1689585283654 1689585283707 328892.620000 3463466.320000 -2.678862 9.320000
1689585283705 1689585283775 328892.440000 3463466.230000 -2.678862 9.340000
1689585283756 1689585283775 328891.700000 3463465.830000 -2.678862 9.340000
1689585283806 1689585283852 328891.380000 3463465.650000 -2.678862 9.340000
1689585283857 1689585283927 328890.880000 3463465.380000 -2.652028 9.340000
1689585283907 1689585283939 328890.790000 3463465.340000 -2.652028 9.340000
1689585283958 1689585284006 328890.300000 3463465.060000 -2.652028 9.380000
1689585284009 1689585284086 328889.890000 3463464.820000 -2.652028 9.420000
1689585284059 1689585284086 328889.310000 3463464.500000 -2.632175 9.420000
1689585284109 1689585284159 328888.910000 3463464.250000 -2.632175 9.440000
1689585284160 1689585284238 328888.490000 3463464.010000 -2.632175 9.460000
1689585284212 1689585284238 328888.250000 3463463.860000 -2.632175 9.460000
1689585284261 1689585284311 328887.680000 3463463.510000 -2.603813 9.460000
1689585284312 1689585284392 328887.270000 3463463.270000 -2.603813 9.480000
1689585284362 1689585284392 328886.870000 3463463.010000 -2.603813 9.520000
1689585284362 1689585284466 328886.870000 3463463.010000 -2.603813 9.520000
1689585284413 1689585284481 328886.630000 3463462.850000 -2.603813 9.520000
1689585284463 1689585284549 328886.150000 3463462.540000 -2.581778 9.520000
1689585284514 1689585284617 328885.660000 3463462.230000 -2.581778 9.520000
1689585284565 1689585284632 328885.260000 3463461.960000 -2.581778 9.520000
1689585284615 1689585284712 328884.870000 3463461.700000 -2.581778 9.540000
1689585284666 1689585284790 328884.470000 3463461.430000 -2.561925 9.560000
1689585284716 1689585284790 328883.990000 3463461.100000 -2.561925 9.560000
1689585284767 1689585284869 328883.590000 3463460.820000 -2.561925 9.560000
1689585284817 1689585284878 328883.210000 3463460.550000 -2.561925 9.600000
1689585284868 1689585284946 328882.970000 3463460.370000 -2.541636 9.600000
1689585284918 1689585285015 328882.420000 3463459.980000 -2.541636 9.620000
1689585284969 1689585285030 328882.110000 3463459.760000 -2.541636 9.620000
1689585285019 1689585285100 328881.870000 3463459.580000 -2.541636 9.620000
1689585285070 1689585285185 328881.480000 3463459.290000 -2.516983 9.660000
1689585285120 1689585285193 328880.940000 3463458.890000 -2.516983 9.660000
1689585285171 1689585285266 328880.710000 3463458.700000 -2.516983 9.700000
1689585285221 1689585285280 328880.100000 3463458.230000 -2.516983 9.700000
